# x_m,y_m,w_tr_right_m,w_tr_left_m,psi,kappa,s,velocity,acceleration,time
-0.2483613323150903,-0.1922516130744621,0.7910362453975064,0.8908674379327848,0.4117768075864876,-0.2959868309235848,0.0000000000000000,3.9604640732478016,-1.8425510556787430,0.0000000000000000
-0.1571671925126641,-0.1524230017123952,0.8053114563101210,0.8765922252341981,0.3823224898144428,-0.4346001000071572,0.0871153129422689,3.9138935658512852,0.0000000000000000,0.0252750159910012
-0.0637846202393404,-0.1180317990862645,0.8162854182038607,0.8656153826715257,0.3252799249649680,-0.5548823402110911,0.1815859753612900,3.9138935658512852,0.0000000000000000,0.0507008779951457
0.0313540661052437,-0.0888424179044092,0.8269692822823255,0.8540584814062310,0.2718843167903875,-0.5189942010422065,0.2764181489108820,3.9138935658512852,0.5497547152419207,0.0761271636172625
0.1278734127350155,-0.0645998694934421,0.8461878483501007,0.8104638158497651,0.2219829326055400,-0.4845018952947582,0.3736766346122872,3.9278471218759350,1.0251129897089835,0.1015085848907653
0.2254497913353386,-0.0450345394494507,0.8649961576580812,0.7490961563010303,0.1754510643081686,-0.4511459830819118,0.4690094451931686,3.9537347701314016,1.4476775864652720,0.1267620433049600
0.3238068346263939,-0.0298660034427323,0.8798365889864754,0.7221286994245804,0.1321875536326547,-0.4187083955028690,0.5645705396456417,3.9900079984011891,1.8340937477261319,0.1518181943491675
0.4227112752862267,-0.0188060801105620,0.8931902841966440,0.7117902226445934,0.0921110466871278,-0.3870058619769117,0.6621571742831354,4.0354956525853209,2.1975223986785459,0.1766193552715720
0.5219691228658307,-0.0115612698522818,0.9120405040864312,0.6657117758876249,0.0551568237310358,-0.3558846993721909,0.7579691751958659,4.0893310392802640,2.5486724373669798,0.2011175750518647
0.6214221203926782,-0.0078346928031842,0.9343355657778251,0.6566441551953913,0.0212740881577147,-0.3252166208801257,0.8539449023292426,4.1508951253522826,2.8965402762810668,0.2252729294902798
0.7209444296355537,-0.0073276129164628,0.9533365375847744,0.6519785951700223,-0.0095763715614536,-0.2948953068432202,0.9515433440443389,4.2197723373979157,3.2489530355103247,0.2490520609629711
0.8204395010481306,-0.0097406154499652,0.9746522397380531,0.6395947152125631,-0.0374242118876282,-0.2648335459063354,1.0477116552735293,4.2957162747383899,3.6129793541124853,0.2724269563555555
0.9198370910048481,-0.0147744909718283,0.9972149880491298,0.6300430487340132,-0.0622913044128435,-0.2349607964823830,1.1452685332367769,4.3786232628577100,3.9952513288956193,0.2953739427602663
1.0190903949438797,-0.0221308684810971,1.0122598299243715,0.6201285219545708,-0.0841932813962192,-0.2052210524943134,1.2416836715183990,4.4685121495826161,4.4022279416825514,0.3178728744481893
1.1181732704113627,-0.0315126329259808,1.0306742531230675,0.6138210881925384,-0.1031408818391120,-0.1755709255330875,1.3392758371723832,4.5655091180533010,4.8404218366765246,0.3399064832834492
1.2170775287542734,-0.0426241571298535,1.0498578788730557,0.6154634152146650,-0.1191411158074978,-0.1459778793160110,1.4360442607711794,4.6698365825017047,5.3166058327608150,0.3614598660192060
1.3158102783288428,-0.0551713748182675,1.0717502320777512,0.6151940995309050,-0.1321982594746551,-0.1164185668458130,1.5337976633884101,4.7818054627268536,5.8380122272881003,0.3825200844644401
