# x_m,y_m,w_tr_right_m,w_tr_left_m,psi,kappa,s,velocity,acceleration,time
0.0377457053490518,0.6166334580620414,-0.0717921477488783,0.6166877342683953,3.1203615081107241,-0.0004488061501446,0.0000000000000000,6.7678737157082054,-5.2840517217151479,0.0000000000000000
-0.0621580873071843,0.6187548487745294,-0.1705431128024827,0.6187590036642379,3.1204063556546853,-0.0718678446429177,0.0999263132796124,6.6894007965074440,-2.1372990962315344,0.0148508991458717
-0.1620619419300664,0.6208672758886890,-0.2692944079247776,0.6208214325595535,3.1347244764330959,-0.1435597053401005,0.1998524986207061,6.6573972936182546,-1.8672335216085676,0.0298247055474267
-0.2619855154836903,0.6201273205327613,-0.3681507369979414,0.6200706509777527,-3.1340881857114296,-0.1509238557671873,0.2997788119003185,6.6293112162111347,-1.5967214163697891,0.0448662507436186
-0.3619086282930141,0.6193675046959513,-0.4670033882639865,0.6193003039740249,-3.1182983488024862,-0.1582280708555661,0.3997048134895481,6.6051994086328163,-1.5883698522539496,0.0599670737996139
-0.4617590168333696,0.6154728938045693,-0.5652755313522360,0.6154417342701139,-3.1024659394737135,-0.1534827830999660,0.4996311267691605,6.5811259933907102,-1.8442266547312454,0.0751231252746184
-0.5616078782834587,0.6115499395222959,-0.6635444216724656,0.6115553587170958,-3.0876244755045299,-0.1487313188161383,0.5995570228280895,6.5530639657234619,-2.1087244238315290,0.0903392743283461
-0.6612986960980648,0.6046936337305250,-0.7614766722442167,0.6047912636363193,-3.0727416568104733,-0.1468591203387024,0.6994833361077020,6.5208291822490629,-2.2510644442257668,0.1056256641050760
-0.7609864694997857,0.5978007921515509,-0.8594078831300908,0.5979912514748801,-3.0582743714751137,-0.1450434040513584,0.7994091257259266,6.4862419350444709,-2.3635630717884601,0.1209905050776711
-0.8604372033360995,0.5880632552415357,-0.9572581435346358,0.5883947167943632,-3.0437544274993487,-0.1475141549367773,0.8993354390055390,6.4497263625671852,-2.3297126745377414,0.1364398801813594
-0.9598826350822799,0.5782788141507642,-1.0551048717064460,0.5787521042415655,-3.0287933826830415,-0.1500068362120272,0.9992610572555303,6.4135305560430664,-2.2983998402326864,0.1519764769985187
-1.0589975289022451,0.5655703166505769,-1.1527313967406927,0.5662369482267160,-3.0137752715397301,-0.1524707463271066,1.0991873705351427,6.3776196929845446,-2.2687948662675081,0.1676007658754647
