# vx,ax
0.0000000000000000,4.2500000000000000
0.9218693075427935,4.2499999999999796
1.3037200774625111,4.2499999999999378
1.5967244786024524,4.2499999999999609
1.8437386150855806,4.2499999999999911
2.0613624380363400,4.2499999999999849
2.2581094130126975,4.2499999999999494
2.4390369290615443,4.2499999999999805
2.6074401549250168,4.2499999999999849
2.7656079226283725,4.2499999999999893
2.9152067168374614,4.2499999999999893
3.0574945988641873,4.2499999999999982
3.1934489572049065,4.2499999999999796
3.3238470576220158,4.2499999999998561
3.4493191042076599,4.2499999999997300
3.5703844754929843,4.2499999999998908
3.6874772301711531,4.2499999999994396
3.8009645280139139,4.2499999999998650
3.9111602323874997,4.2499999999995000
4.0183351507308060,4.2499999999998108
4.1227248760726400,4.2499999999997220
4.2245358826713186,4.2499999999998561
4.3239503285961716,4.2499999999997833
4.4211298854881349,4.2500000000000169
4.5162188260253462,4.2499999999997673
4.6093465377139022,4.2499999999997486
4.7006295881429034,4.2499999999993596
4.7901734358072900,4.2499999999995888
4.8780738581230159,4.2499999999986473
4.9644181517567922,4.2499999999995728
5.0492861481284335,4.2499999999978826
5.1327510777233956,4.2499999999999618
5.2148803098498915,4.2499999999977778
5.2957359891000122,4.2499999999995373
5.3753755856161733,4.2499999999986295
5.4538523730137376,4.2499999999997309
5.5312158452565336,4.2499999999991980
5.6075120817530317,4.2499999999998224
5.6827840683238717,4.2499999999993570
5.7570719803894166,4.2499999999989848
5.8304134336746776,4.2499999999987548
5.9028437068724191,4.2499999999971720
5.9743959400053308,4.2499999999932658
6.0451013116522931,4.2499999999875122
6.1149891977277608,4.2499999999687299
6.1840873141079102,4.2499999999478018
6.2524218450684677,4.2499999998664713
6.3200175592202354,4.2499999997905293
6.3868979144025504,4.2499999994567554
6.4530851527839337,4.2499999991537392
6.5186003872841178,4.2499999978064364
6.5834636802257416,4.2499999965831270
6.6476941151317757,4.2499999911670603
6.7113098622236791,4.2499999862466868
6.7743282385945900,4.2499999645357374
6.8367657629406882,4.2499999447910728
6.8986382066656935,4.2499998579960625
6.9599606391316282,4.2499997789320521
7.0207474726161143,4.2499994328124799
7.0810124968833685,4.2499991168761069
7.1407689239055836,4.2499977398451430
7.2000294022217464,4.2499964798326877
7.2588060801445602,4.2499910132337471
7.3171105589783014,4.2499859972259433
7.3749540440916368,4.2499643408326460
7.4323470749243583,4.2499444073495560
7.4893000304333777,4.2498587663655698
7.5458220045617699,-2.0091635026154453
7.5191536249317723,-4.2491723984237790
7.4624388576980500,-4.2430119493430896
7.4053729167889051,-3.7818484682667939
7.3541361172488102,-3.3165543970097051
7.3089075604168601,-2.7845005144738515
7.2707174662010630,-2.2794741176890700
7.2393039897532745,-1.9678634020031476
7.2120747542921384,-1.6932370072076504
7.1885629903859956,-1.6840196307417425
7.1651026609718160,-2.6099691535425413
7.1285902357824051,-3.5038073405888155
7.0792772724124244,-3.8918788140140501
7.0240967169460671,-4.2364997399224107
6.9635329554894216,-4.2364996960509158
6.9024378131328286,-4.2202456629969012
6.8410346083292266,-4.1666702970259770
6.7798653641249382,-3.3888367672667039
6.7297052070448204,-2.6230249540972235
6.6906221158874910,-2.6220093251310095
6.6513246259846666,-2.7607016425647823
6.6096960135612299,-2.6863750533373567
6.5689348912980678,-2.4827754287510437
6.5310368861954444,-2.4801200401015602
6.4929585250173556,-2.7985663503059146
6.4497209722309963,-3.0962242841643413
6.4015443547836712,-3.7337223735050524
6.3429617344082487,-4.1597570920080527
6.2770507240523195,-4.2130566387298920
6.2095821180051640,-4.2130523741107204
6.1413724215784766,-4.1908935358809210
6.0727614238778491,-4.1621366473742620
6.0038452442011199,-4.0111935377943375
5.9366713891178451,-3.0989394611732606
5.8842496338856929,-2.2294814364180575
5.8462449745052583,-2.2189013672776245
5.8081737221573064,-3.1082002482879787
5.7544206307139545,-3.6576419356239263
5.6905152234470249,-3.4044496565505606
5.6303818525091547,-3.1085045735513765
5.5749093003746131,-2.7793205925910529
5.5248395704152697,-1.5771631111271192
5.4962239684504786,-0.4570863930570715
5.4879028668463876,-0.3961713947930092
5.4806804532044753,-2.8087676230904810
5.4291996838934322,-3.4644761447334953
5.3650202184156441,-2.7998453765829390
5.3125866356024671,-1.5142290170443602
5.2840123852600058,-0.2432043757104568
5.2794085838793983,-0.1669562229530526
5.2762458189814581,-2.8154550964884200
5.2226223362933926,-3.1963301653018887
5.1610692783088039,-3.5211920733649245
5.0923990259157463,-3.5181644342327072
5.0228502765582661,-3.9567757721254475
4.9434619459082851,-3.9562928106127386
4.8627876346636274,-4.1575766202214144
4.7765407805885864,-4.1672878709489227
4.6885006323083882,-4.1224064857326406
4.5997509906914305,-4.1222812561451914
4.5092577202322772,-4.0980827893689273
4.4174585487545874,-4.0978626945695957
4.3237158615539624,-4.1064638014869699
4.2276917845654962,-4.1046248878079767
4.1294799258374546,-3.8524859264476112
4.0351269913908983,-3.6850531378210172
3.9427623973275070,-3.5396774560556659
3.8519567676317359,-3.5347080925483723
3.7590902996174775,-4.0369518676585452
3.6501395526529508,-3.7071859171737542
3.5471423005857945,-3.1025879767120204
3.4585868881066055,-3.0925428166879350
3.3680007314019833,-3.6112288632894476
3.2590361885075909,-3.0324436865011855
3.1646390233854036,-1.7939909389293647
3.1074440017740366,-1.3456966428412021
3.0638443106593485,-1.3396329265429181
3.0198213440271040,-1.3502959086733826
2.9747792595774087,-2.7322964697104943
2.8814847117595423,-2.9784443164419887
2.7762160027461347,-2.1354814380809355
2.6982171865479874,-1.0987570987670316
2.6571912144574434,-0.3592972394758585
