# x_m,y_m,w_tr_right_m,w_tr_left_m,psi,kappa,s,velocity,acceleration,time
-0.1069233058123990,0.5775563847673215,-0.1380023410362463,0.5775563848656733,3.1401246594121823,0.0000000000000044,0.0000000000000000,6.6928434497296445,-5.3766259415071698,0.0000000000000000
-0.2068706305057686,0.5777031069634350,-0.2390241378589966,0.5777044435197913,3.1401246594121819,-0.0714413857675988,0.0999474323870538,6.6120642409969426,-2.3191466458003629,0.0150241451816635
-0.3068179551991382,0.5778498291595485,-0.3400459346817469,0.5778525021739094,-3.1287798816201153,-0.1428907154171730,0.1998948647741075,6.5769147798885825,-2.3161454503747634,0.0301803498020184
-0.4067287016039186,0.5751422309334020,-0.4410677409172904,0.5751659695728720,-3.1144975281788558,-0.1420514423015366,0.2998422926315295,6.5416223111166873,-2.4181739018462127,0.0454179372195896
-0.5066394439441614,0.5724343155384373,-0.5420895471538798,0.5724791219952988,-3.1003845284137235,-0.1412126240543003,0.3997897250185831,6.5045708479645148,-2.2076251278557182,0.0607400210134328
-0.6064339739996143,0.5669080897177792,-0.6432187775848356,0.5669958770765470,-3.0862698510889324,-0.1502902568626004,0.4997371482010224,6.4705601790282303,-1.8875654830993858,0.0761460192996180
-0.7062284771803566,0.5613812121478048,-0.7443480328582092,0.5615119854759965,-3.0703422792246720,-0.1593709698820026,0.5996845805880762,6.4413379342671826,-1.8428654545907885,0.0916274661806363
-0.8057963608494840,0.5526793589341049,-0.8449329475588798,0.5528757760007633,-3.0544124154322705,-0.1618856298333625,0.6996319953005221,6.4126792456609714,-1.7987177919963118,0.1071786224166052
-0.9053641654942615,0.5439763985766120,-0.9455176724428860,0.5442384672827137,-3.0379821760015258,-0.1643965983735656,0.7995794276875757,6.3845830449554875,-1.7915157750524773,0.1227987496152700
-1.0045923954962768,0.5320079838755007,-1.0453151945087622,0.5323722964104521,-3.0215503834643203,-0.1606078299735639,0.8995268367574992,6.3564759055536664,-2.0035105326167288,0.1384877766354188
-1.1038204786552102,0.5200381570860904,-1.1451123761626247,0.5205047292735401,-3.0058774992922110,-0.1568164030403312,0.9994742691445531,6.3248948189589189,-2.2246523608467963,0.1542506518889366
-1.2026248640766866,0.5049657458728986,-1.2443850602273843,0.5055815523348446,-2.9902035937713807,-0.1570028254554942,1.0994216761058906,6.2896421202783284,-2.2869471002025423,0.1700970372842583
-1.3014290298846940,0.4898917265101534,-1.3436574724315116,0.4906567915947543,-2.9744934447205416,-0.1571932775674256,1.1993691084929441,6.2531951048914785,-2.1988250541788879,0.1860340108083167
-1.3997111402352853,0.4717228027966297,-1.4424399518148068,0.4726783312723170,-2.9587814697132071,-0.1629772326695638,1.2993165096791364,6.2179510548236232,-2.0440239966890976,0.2020625938922108
-1.4979929200599071,0.4535519196241140,-1.5412221210097525,0.4546979375786259,-2.9419151379198309,-0.1687646019755633,1.3992639420661901,6.1850081180034850,-2.0440056982016603,0.2181793013640893
-1.5956063378861836,0.4320786450293942,-1.6391200392985203,0.4334589734809895,-2.9250462994969424,-0.1705727513075607,1.4992113325351135,6.1518890877917558,-2.0444700188155269,0.2343823042426370
-1.6932192623980424,0.4106029329572228,-1.7370173049264219,0.4122176042499608,-2.9078185280131494,-0.1723757025999964,1.5991587649221672,6.1185831930721868,-2.0448461633875907,0.2506730272236787
-1.7900350105101326,0.3857797462695507,-1.8338666308607761,0.3876870168142689,-2.8905892899800705,-0.1728299045293267,1.6991061494794166,6.0850888439562167,-2.0984019708717243,0.2670529142370283
-1.8868501149520522,0.3609538567051293,-1.9307151106492568,0.3631537735402420,-2.8732707258847583,-0.1732839274645658,1.7990535818664704,6.0505244781449550,-2.1560790731733430,0.2835246705025368
-1.9827481552600588,0.3327928106867825,-2.0264825423879937,0.3353461724904038,-2.8559507319148287,-0.1751971016711799,1.8990009612606471,6.0148032016326747,-2.1614819625367301,0.3000923729382852
-2.0786453836123635,0.3046288117677611,-2.1222490169819728,0.3075356723701865,-2.8382497342215807,-0.1771126047623719,1.9989483936477010,5.9787781703085221,-2.1439687813449595,0.3167591931794652
-2.1734865788765441,0.2730911396224958,-2.2168125724099537,0.2764126874987883,-2.8205468425077713,-0.1799697473611957,2.0988957652163456,5.9428293195174637,-2.1205156670972301,0.3335266251979981
-2.2683267468045205,0.2415501854809675,-2.3113749576071680,0.2452864801568526,-2.8022747168548579,-0.1828281359545789,2.1988431976033995,5.9070585005051903,-2.0908207696074843,0.3503955498502931
-2.3619523460806970,0.2065684431062605,-2.4045510948379718,0.2107739202904462,-2.7840004498916500,-0.1859058910871831,2.2987905594464895,5.8715752646434343,-2.0627223722025998,0.3673665099524435
