# x_m,y_m,w_tr_right_m,w_tr_left_m,psi,kappa,s,velocity,acceleration,time
0.0061056926145522,-0.4508008616397001,1.3193095564263886,0.5198533014405129,-2.9965298953372619,0.0132766981461105,0.0121376142761562,8.0000000000000000,0.0000000000000000,0.0000000000000000
-0.0936585932308600,-0.4653753189172853,1.2763901747154045,0.5367115828710600,-2.9951912954944246,0.0200939587116870,0.1139076225419826,8.0000000000000000,0.0000000000000000,0.0126029061226849
-0.1933494800983276,-0.4802117956866333,1.2976237333701983,0.5385067584325338,-2.9924787099767816,0.0272652021755781,0.2156411305310313,8.0000000000000000,0.0000000000000000,0.0252015134163439
-0.2929648310072950,-0.4953169044045747,1.2765699339642556,0.5481620827479551,-2.9896961868296654,0.0279695361740729,0.3173396236626954,8.0000000000000000,0.0000000000000000,0.0377957720574975
-0.3925025089772058,-0.5106972575279400,1.2778401155343371,0.5481461984147412,-2.9868436033982873,0.0286756570632856,0.4190046723947812,8.0000000000000000,0.0000000000000000,0.0503856393856812
-0.4919603770275031,-0.5263594675135597,1.2962549839707831,0.5533499298229744,-2.9839208388321978,0.0293835358999609,0.5206379312041425,8.0000000000000000,0.0000000000000000,0.0629710800928188
-0.5913362981776297,-0.5423101468182639,1.2527892754525018,0.5597456308791054,-2.9809277745020033,0.0300931373912657,0.6222411383099694,8.0000000000000000,0.0000000000000000,0.0755520664131541
-0.6906281354470304,-0.5585559078988839,1.2763132105323856,0.5596143629512526,-2.9778642944291445,0.0308044196873286,0.7238161160684293,8.0000000000000000,0.0000000000000000,0.0881285783137056
-0.7898337518551486,-0.5751033632122495,1.2617190276018588,0.5670691996706426,-2.9747302857287981,0.0315173341725254,0.8253647719658689,8.0000000000000000,0.0000000000000000,0.1007006036852041
-0.8889510104214271,-0.5919591252151919,1.2589592344459930,0.5664778334242718,-2.9715256390659710,0.0322318252558869,0.9268891001365405,8.0000000000000000,0.0000000000000000,0.1132681385334714
-0.9879777741653095,-0.6091298063645409,1.2747179248672340,0.5698040606455187,-2.9682502491248073,0.0329478301611397,1.0283911833294110,8.0000000000000000,0.0000000000000000,0.1258311871711922
-1.0869119061062402,-0.6266220191171278,1.2378089091296109,0.5747308697849947,-2.9649040150911166,0.0336652787167639,1.1298731952473118,8.0000000000000000,0.0000000000000000,0.1383897624100276
-1.1857512692636618,-0.6444423759297825,1.2627085175737194,0.5727557922156550,-2.9614868411481110,0.0343840931466357,1.2313374031803181,8.0000000000000000,0.0000000000000000,0.1509438857530117
-1.2844937266570178,-0.6625974892593357,1.2570876744410056,0.5774797320406021,-2.9579986369852938,0.0351041878617877,1.3327861708538604,8.0000000000000000,0.0000000000000000,0.1634935875871737
-1.3831371413057523,-0.6810939715626182,1.2483955432643215,0.5762850928050477,-2.9544393183204303,0.0358254692538749,1.4342219614104916,8.0000000000000000,0.0000000000000000,0.1760389073763158
-1.4816793762293083,-0.6999384352964603,1.2617435003517035,0.5779329951272039,-2.9508088074344849,0.0365478354910193,1.5356473404427584,8.0000000000000000,0.0000000000000000,0.1885798938538780
-1.5801182944471297,-0.7191374929176926,1.2312900481500035,0.5809941684698402,-2.9471070337193788,0.0372711763166685,1.6370649789928284,8.0000000000000000,0.0000000000000000,0.2011166052158131
-1.6784517589786594,-0.7386977568831453,1.2577704009219186,0.5771142604260695,-2.9433339342383884,0.0379953728522020,1.7384776564327054,8.0000000000000000,0.0000000000000000,0.2136491093133912
-1.7766776328433425,-0.7586258396496496,1.2575365456725247,0.5816676521806056,-2.9394894542989638,0.0387202974040859,1.8398882631369151,8.0000000000000000,0.0000000000000000,0.2261774838458458
-1.8747937790606204,-0.7789283536740352,1.2520607499026601,0.5837135769367073,-2.9355735480376981,0.0394458132764129,1.9412998028573649,8.0000000000000000,0.0000000000000000,0.2387018165527711
-1.9727980606499378,-0.7996119114131333,1.2706524947447544,0.5791515937017121,-2.9315861790171365,0.0401717745895877,2.0427153947077974,8.0000000000000000,0.0000000000000000,0.2512222054061729
-2.0706883406307379,-0.8206831253237742,1.2434939475261697,0.5827556618209427,-2.9275273208340877,0.0408980261061858,2.1441382746628146,8.0000000000000000,0.0000000000000000,0.2637387588020684
-2.1684624820224645,-0.8421486078627884,1.2626086165061436,0.5829816895578550,-2.9233969577390062,0.0416244030649298,2.2455717964738233,8.0000000000000000,0.0000000000000000,0.2762515957515289
-2.2661183478445617,-0.8640149714870066,1.2393930230364631,0.5868781110855332,-2.9191950852660087,0.0423507310236362,2.3470194319015016,8.0000000000000000,0.0000000000000000,0.2887608460710486
-2.3636538011164707,-0.8862888286532589,1.2557693720914540,0.5877532057202669,-2.9149217108730188,0.0430768257123486,2.4484847701615031,8.0000000000000000,0.0000000000000000,0.3012666505721214
-2.4610667048576369,-0.9089767918183761,1.2375572069808163,0.5908520182805136,-2.9105768545914583,0.0438024928977072,2.5507263245827341,8.0000000000000000,0.0000000000000000,0.3137691612498985
-2.5583549220875046,-0.9320854734391889,1.2604126541797525,0.5865350456363990,-2.9061605496848717,0.0445275282595774,2.6522645148555437,8.0000000000000000,0.0000000000000000,0.3262685414707946
-2.6555163158255142,-0.9556214859725273,1.2575196993163524,0.5771355542089539,-2.9016728433158043,0.0452517172811752,2.7538330985334123,8.0000000000000000,0.0000000000000000,0.3387649661589067
-2.7525487490911127,-0.9795914418752223,1.2517929485366495,0.5808271815002244,-2.8971137972201824,0.0459748351539340,2.8554361074388614,8.0000000000000000,0.0000000000000000,0.3512586219811005
-2.8494500849037423,-1.0040019536041045,1.2612530556761401,0.5797232559309260,-2.8924834883883808,0.0466966466981823,2.9570776686175702,8.0000000000000000,0.0000000000000000,0.3637497075306146
-2.9462181862828460,-1.0288596336160043,1.2517208097144568,0.5798032259959069,-2.8877820097521276,0.0474169063010653,3.0587619961599564,8.0000000000000000,0.0000000000000000,0.3762384335090286
-3.0428509162478674,-1.0541710943677520,1.2670451694503191,0.5764978024934827,-2.8830094708762628,0.0481353578729379,3.1604933813869245,8.0000000000000000,0.0000000000000000,0.3887250229064332
-3.1393461378182494,-1.0799429483161780,1.2499005846366975,0.5687690557884754,-2.8781659986543748,0.0488517348233677,3.2622761812737995,8.0000000000000000,0.0000000000000000,0.4012097111796342
-3.2357017140134379,-1.1061818079181136,1.2740730994893112,0.5599669067081405,-2.8732517380072267,0.0495657600583034,3.3641148049855234,8.0000000000000000,0.0000000000000000,0.4136927464282206
-3.3319155078528748,-1.1328942856303887,1.2534733254274497,0.5604094172502617,-2.8682668525828063,0.0502771459996170,3.4660136983958680,8.0000000000000000,0.0000000000000000,0.4261743895683149
-3.4279853823560020,-1.1600869939098337,1.2821633218065025,0.5557279601392224,-2.8632115254567934,0.0509855946283071,3.5679773264642831,8.0000000000000000,0.0000000000000000,0.4386549145038254
-3.5239092005422665,-1.1877665452132797,1.2655626402967730,0.5538949884093707,-2.8580859598321409,0.0516907975527827,3.6700101533459466,8.0000000000000000,0.0000000000000000,0.4511346082950106
